扯	che3	手 shŏu; 止 zhĭ
屮	che4	屮 chè
彻	che4	彳 chì; 切 qiè qiē
徹	che4	育 yù yō; 攵 pō
撤	che4	手 shŏu; 徹 chè
澈	che4	水 shuĭ; 徹 chè
尘	chen2	小 xiăo; 土 tŭ
臣	chen2	臣 chén
忱	chen2	心 xīn; 冘 yín
沉	chen2	水 shuĭ; 冗 rŏng
辰	chen2	厂 chăng hăn ān; 二 èr
陈	chen2	阜 fù; 东 dōng
晨	chen2	日 rì; 辰 chén
闯	chuang3	门 mén; 马 mă
衬	chen4	衣 yī yì yĭ; 寸 cùn
称	cheng1 chen4 cheng4	禾 hé; 尔 ĕr
趁	chen4	走 zŏu; 昣 zhĕn
铛	dang1 cheng1	金 jīn; 当 dāng dàng
撑	cheng1	手 shŏu; 掌 zhăng
丞	cheng2	子 zi zĭ zí; 廾 gŏng
成	cheng2	戈 gē
呈	cheng2	口 kŏu; 王 wáng wàng
承	cheng2	手 shŏu; 人 rén
诚	cheng2	言 yán; 成 chéng
城	cheng2	土 tŭ; 成 chéng
乘	cheng2 sheng4	禾 hé; 北 bĕi
惩	cheng2	征 zhēng; 心 xīn
程	cheng2	禾 hé; 呈 chéng
澄	cheng2 deng4	水 shuĭ; 登 dēng
橙	cheng2 chen2	木 mù; 登 dēng
逞	cheng3	辶 chuò; 呈 chéng
秤	cheng4 chen4 cheng1	禾 hé; 平 píng
吃	chi1 ji2	口 kŏu; 乞 qĭ
蚩	chi1	屮 chè; 虫 chóng huĭ
嗤	chi1	口 kŏu; 蚩 chī
痴	chi1	疒 chuáng; 知 zhī zhì
弛	chi2	弓 gōng; 也 yĕ
池	chi2	水 shuĭ; 也 yĕ
驰	chi2	马 mă; 也 yĕ
迟	chi2	辶 chuò; 尺 chĭ chĕ
持	chi2	手 shŏu; 寺 sì
匙	chi2 shi5	是 shì; 匕 bĭ
尺	chi3 che3	尺 chĭ chĕ
侈	chi3	人 rén; 多 duō
齿	chi3	止 zhĭ; 人 rén; 凵 qū kăn
耻	chi3	耳 ĕr; 止 zhĭ
彳	chi4	彳 chì
斥	chi4	斤 jīn jin
赤	chi4	土 tŭ; 火 huŏ
翅	chi4	支 zhī; 羽 yŭ
充	chong1	子 zi zĭ zí; 儿 ér r2
冲	chong1 chong4	冫 bīng; 中 zhōng zhòng
虫	chong2 hui3	虫 chóng huĭ
崇	chong2	山 shān; 宗 zōng
宠	chong3	宀 mián; 龙 lóng
抽	chou1	手 shŏu; 由 yóu
仇	chou2 qiu2	人 rén; 九 jiŭ
绸	chou2	糸 mì; 周 zhōu
畴	chou2	田 tián; 寿 shòu
愁	chou2	秋 qiū; 心 xīn
稠	chou2	禾 hé; 周 zhōu
筹	chou2	竹 zhú; 寿 shòu
酬	chou2	酉 yŏu; 州 zhōu
丑	chou3	又 yòu
臭	chou4 xiu4	自 zì; 犬 quăn quán
出	chu1	屮 chè; 凵 qū kăn
初	chu1	衣 yī yì yĭ; 刀 dāo
刍	chu2	勹 bāo; 屮 chè
除	chu2	阜 fù; 余 yú tú
厨	chu2	厂 chăng hăn ān; 豆 dòu; 寸 cùn
锄	chu2	金 jīn; 助 zhù
雏	chu2	刍 chú; 隹 zhuī cuī
橱	chu2	木 mù; 厨 chú
础	chu3	石 shí dàn; 出 chū
储	chu3	人 rén; 诸 zhū
楚	chu3	林 lín; 足 zú jù
处	chu3 chu4	夂 zhĭ; 卜 bŭ bo
触	chu4	角 jiăo jué jiă; 虫 chóng huĭ
矗	chu4	直 zhí
揣	chuai3 chuai1 chuai4	手 shŏu; 耑 zhuān duān
川	chuan1	川 chuān
	
阿	a1 e1 a5 a2 a4	阜 fù; 可 kĕ kè
啊	a5 a1 a2 a3 a4	口 kŏu; 阿 ā ē a á à
哎	ai1 ai3 ai4	口 kŏu; 艾 ài yì
哀	ai1	衣 yī yì yĭ; 口 kŏu
唉	ai1 ai4	口 kŏu; 矣 yĭ
埃	ai1	土 tŭ; 矣 yĭ
挨	ai1 ai2	手 shŏu; 矣 yĭ
癌	ai2 yan2	疒 chuáng; 品 pĭn; 山 shān
矮	ai3	矢 shĭ; 委 wĕi wēi
蔼	ai3	艹 căo; 言 yán; 曷 hé
艾	ai4 yi4	艹 căo; 乂 yì ài
爱	ai4	爪 zhuă zhăo; 冖 mì; 友 yŏu
隘	ai4	阜 fù; 益 yì
碍	ai4	石 shí dàn; 旦 dàn; 寸 cùn
安	an1	宀 mián; 女 nǚ rŭ
氨	an1	气 qì; 安 ān
庵	an1	广 guăng ān; 奄 yăn yān
鞍	an1	革 gé jí jĭ; 安 ān
俺	an3	人 rén; 奄 yăn yān
岸	an4	山 shān; 厂 chăng hăn ān; 干 gān gàn
按	an4	手 shŏu; 安 ān
案	an4	安 ān; 木 mù
暗	an4	日 rì; 音 yīn
肮	ang1	月 yuè; 亢 kàng
昂	ang2	日 rì; 卬 áng yăng
凹	ao1 wa1	凹 āo wā
敖	ao2	二 èr; 放 fàng
熬	ao2 ao1	敖 áo; 火 huŏ
拗	ao4 niu4 yao4 ao3	手 shŏu; 幼 yòu
袄	ao3	衣 yī yì yĭ; 夭 yāo yăo
傲	ao4	人 rén; 敖 áo
奥	ao4	冂 jiōng; 米 mĭ; 大 dà dài
澳	ao4	水 shuĭ; 奥 ào
懊	ao4	心 xīn; 奥 ào
八	ba1 ba2	八 bā bá
巴	ba1	巴 bā
叭	ba1	口 kŏu; 八 bā bá
扒	ba1 pa2 pa1	手 shŏu; 八 bā bá
吧	ba5 ba1	口 kŏu; 巴 bā
芭	ba1	艹 căo; 巴 bā
疤	ba1	疒 chuáng; 巴 bā
捌	ba1	手 shŏu; 别 bié biè
笆	ba1	竹 zhú; 巴 bā
犮	ba2	犬 quăn quán
拔	ba2	手 shŏu; 犮 bá
跋	ba2	足 zú jù; 犮 bá
把	ba3 ba4	手 shŏu; 巴 bā
靶	ba3	革 gé jí jĭ; 巴 bā
坝	ba4	土 tŭ; 贝 bèi
爸	ba4	父 fù fŭ; 巴 bā
罢	ba4 ba5	网 wăng; 去 qù
霸	ba4	雨 yŭ yù; 革 gé jí jĭ; 月 yuè
掰	bai1 bo4	手 shŏu; 分 fēn fèn
白	bai2	日 rì
百	bai3 bo2	一 yī; 白 bái
柏	bo2 bai3 bo4	木 mù; 白 bái
摆	bai3	手 shŏu; 罢 bà ba
败	bai4	贝 bèi; 攵 pō
拜	bai4	手 shŏu; 丰 fēng
扳	ban1 pan1	手 shŏu; 反 făn
班	ban1	王 wáng wàng
般	ban1 bo1 pan2	舟 zhōu; 殳 shū
颁	ban1	分 fēn fèn; 页 yè
斑	ban1	王 wáng wàng; 文 wén wèn
搬	ban1	手 shŏu; 般 bān bō pán
板	ban3	木 mù; 反 făn
版	ban3	片 piàn piān; 反 făn
办	ban4	力 lì
半	ban4	八 bā bá; 牛 niú
伴	ban4	人 rén; 半 bàn
扮	ban4	手 shŏu; 分 fēn fèn
拌	ban4	手 shŏu; 半 bàn
绊	ban4	糸 mì; 半 bàn
瓣	ban4	辛 xīn; 瓜 guā
邦	bang1	丰 fēng; 邑 yì
帮	bang1	邦 bāng; 巾 jīn
梆	bang1	木 mù; 邦 bāng
绑	bang3	糸 mì; 邦 bāng
榜	bang3	木 mù; 旁 páng bàng
膀	bang3 pang1 pang2 bang4	月 yuè; 旁 páng bàng
蚌	bang4 beng4	虫 chóng huĭ; 丰 fēng
傍	bang4 bang1	人 rén; 旁 páng bàng
棒	bang4	木 mù; 奉 fèng
谤	bang4	言 yán; 旁 páng bàng
磅	bang4 pang2 pang1	石 shí dàn; 旁 páng bàng
勹	bao1	勹 bāo
包	bao1	勹 bāo; 巳 sì
苞	bao1	艹 căo; 包 bāo
胞	bao1	月 yuè; 包 bāo
