行,彳丁
土,土
圓,口員
痿,疒委
旁,立方
瓣,辛瓜
簸,箕皮
誡,言戒
瓤,瓜襄
歉,兼欠
庸,庚用
瘟,疒昷
街,行圭
誕,言延
衩,衣叉
歷,禾止厂
衣,衣
瘩,疒荅
圪,土乞
誆,言匡
圭,土
武,止弋
歧,止支
此,止匕
麻,广林
瘸,疒加肉
正,一止
源,水原
助,且力
像,人象
予,予
檀,木亶
加,力口
二,一
僉,人口亼
隱,急工阝爪
井,井
賴,束負
聿,肀二
賺,貝兼
隹,隹
窄,穴乍
僚,人尞
賽,宀弄貝
亡,人乚
聊,耳卯
簷,竹詹
交,交
檬,木蒙
隋,阝左月
亭,京丁
候,侯
聚,取人
檸,木寧
穩,禾隱
力,力
隙,阝日小
人,人
僻,人辟
藏,艹臧
弱,弓二
蹈,足舀
薄,艹溥
魏,委鬼
張,弓長
薛,艹垖辛
臽,刀臼
魔,麻鬼
醬,將酉
魚,魚
董,艹重
薯,艹署
弓,弓
活,水舌
弗,弔
弔,弓
引,弓
弊,敝廾
弋,弋
率,玄十冫
玄,人幺
王,王
憤,心賁
痢,疒利
弄,王廾
壤,土襄
攵,攵
攴,十又
糖,米唐
攸,人攵
士,士
鍬,金秋
糟,米曹
疒,疒
灌,水雚
某,甘木
柒,水七木
蘸,艹酉焦
支,十又
攮,手囊
鍁,金欣
查,木旦
壁,辟土
柬,束八
糸,糸
系,糸一
商,立冏
攜,催冏
攀,樊手
蘑,艹磨
火,火
壑,又土容
啚,入回
鍘,金則
鍛,金段
早,日十
鳥,鳥
壘,田土
龍,龍
摩,麻手
襟,衣禁
顏,彥頁
石,石
瓜,瓜
襄,衣口丰
嘴,口此角
矮,矢委
嘰,口幾
焉,焉
焊,火旱
嘹,口尞
然,月犬火
矗,直
爆,火暴
襻,衣攀
矍,目隹又
綻,糸定
藐,艹貌
焦,隹火
嚕,口魯
摒,手屏
嘟,口都
騰,月半馬
鞭,革便
跤,足交
闌,門柬
鞠,革匊
闊,門活
腦,月川囟
冫,冫
讕,言闌
子,子
信,人言
冥,冖日六
孛,十冖子
孚,爪子
疋,疋
段,爪殳
愚,禺心
俞,亼月刀
疏,疋旈
鞋,革圭
殿,尸共殳
止,止
冒,冃目
疆,弓土畺
冖,冖
孵,卵孚
鞝,革尚
疙,疒乞
孰,丸享
冏,冂八口
孽,薛子
冂,冂
疑,匕矢疋
懶,心賴
孺,子需
夏,目夂
等,竹寺
筏,伐竹
顛,真頁
示,示
展,尸廿衣
犬,犬
願,原頁
屏,尸并
筐,竹匡
答,竹合
屹,山乞
浦,水甫
礫,石樂
耒,耒
厷,又厶
山,山
酋,酉八
渲,水宣
輿,與車
礅,石敦
輸,車俞
芭,艹巴
渤,水勃
渦,水咼
渠,水巨木
渣,水查
犁,利牛
汊,水叉
擀,手十早人干
翟,羽隹
罐,缶雚
希,乂布
遣,追中
周,用口
避,辶辟
蜻,虫青
賬,貝長
遺,辶貴
春,丰日
蚪,虫斗
帚,彐冖巾
帛,白巾
鷹,广人隹鳥
翼,羽異
翻,番羽
遊,辶方人子
昔,廿日
遇,辶禺
蜂,虫夆
易,日勿
蜀,四勹虫
惠,十田心
告,牛口
遙,辶月缶
長,長
必,弋八
鄙,啚阝
帽,巾冒
蜓,虫廷
道,辶首
月,月
整,束攵正
員,口貝
粑,米巴
朁,日天
虫,虫
瀑,水暴
數,婁攵
敦,享攵
沒,水勹又
敢,耳攵
散,廿月攵
亘,旦一
敬,苟攵
敫,敫
葫,艹胡
木,木
唐,庚口
境,土竟
唚,帚又
敝,巾攵
虍,虍
朧,月龍
朦,月蒙
虐,虍肀
墓,莫土
敏,每攵
虜,虍男
便,人更
屬,尸水蜀
囟,囟
鋒,金夆
諸,言者
撤,手徹
囗,囗
袁,衣口土
播,手番
婁,婁
袞,衣八口
諮,言咨
囊,冖中襄
盒,合皿
撿,手僉
隅,阝禺
欣,斤欠
盯,目丁
目,目
監,亼臣皿
盥,臼水皿
囱,囟夕
撒,手散
諉,言委
囪,囟丿
鋤,金助
钁,金厥
袱,衣伏
直,十目
穗,禾惠
遭,辶曹
蔑,艹罒戍
卬,卬
卯,卬
猿,犬袁
卵,卯
蝴,虫胡
即,皀卩
宣,宀亘
漲,水張
足,口止
穴,宀八
十,十
桼,桼
漏,水尸雨
半,半
南,十半冂
捍,手旱
卒,人人十
巔,山顛
演,水寅
砂,石少
廿,廿
廾,廾
萹,艹扁
藍,艹監
藊,艹稨
建,廴聿
廷,廴壬
延,廴止
窩,穴咼
萵,艹咼
蹓,足留
懊,心奥
蹙,戚足
藕,艹耦
墩,土敦
懂,心董
廖,广翏
藤,艹滕
牛,牛
翏,羽昣
浸,水唚
酉,酉
牆,爿嗇
蹲,足尊
胡,古月
萎,艹委
廉,广兼
廈,广夏
蓖,艹比囟
鬼,鬼
廄,广几又即
蹾,足敦
德,彳直心
徹,育攵
猢,犬胡
徽,彳山系攵
逢,辶夆
遵,辶尊
蝸,虫咼
川,川
吩,口分
徨,彳皇
曝,日暴
蝶,虫枼
微,彳山兀攵
羽,羽
蝌,虫科
凋,周水
蔥,艹悤
巨,工匚
蔡,祭艹
得,彳旦寸
巢,川果
蔬,艹疏
蔫,艹焉
左,又工
工,工
害,宀丰口
昣,人彡
合,亼口
蔽,艹敝
律,彳聿
巾,巾
籍,竹耒昔
鏜,金堂
瞎,目害
套,大镸
籃,竹監
嗦,口索
於,方人
方,方
犀,尸水牛
奇,大可
燎,火尞
燉,火敦
嗶,口畢
冀,北異
籬,竹離
覽,臨見
靠,告非
嗇,土人回
景,日京
女,女
齡,齒令
籽,米子
奥,冂米大
奧,奥
巴,巴
米,米
鏡,金竟
傅,人尃
割,害刀
陡,阝走
番,采田
剿,巢刀
齒,齒
剩,乘刀
畺,畺
副,畐刀
算,竹目廾
心,心
令,亼厶
伐,人戈
肉,肉
伕,人夫
贏,亡口月貝凡
肆,镸聿
肀,肀
蜜,宀必虫
則,貝刀
留,卯田
伏,人犬
尞,火日小
轍,車徹
預,予頁
尚,八向
遛,辶留
丞,子廾
轄,車害
轅,車袁
笆,竹巴
少,小
小,小
頁,頁
尊,酋寸
尉,尸示寸
將,片夕寸
尃,甫寸
封,圭寸
寸,又一
科,禾斗
尸,尸
拚,手弁
私,禾厶
肅,聿片片
尤,大
秋,禾火
爵,爵
磅,石旁
燃,火然
溜,水留
舛,夕十
爽,大乂
爿,片
舟,舟
舞,無舛
庭,广廷
舀,爪臼
食,亼艮
魯,魚日
庫,广車
座,广坐
爪,爪
島,鳥山
庚,广又人
峰,山夆
愉,心俞
磨,麻石
意,音心
纜,糸覽
言,言
磷,石粦
舨,舟反
溥,水尃
部,咅阝
踵,足重
杈,木叉
泉,白水
蚯,虫丘
鱖,魚厥
暴,日共水
束,木口
哢,口弄
都,者阝
烽,火夆
杓,木勺
儒,人需
富,宀畐
弁,厶廾
哐,口匡
署,四者
泰,丰水
哆,口多
蚓,虫引
烖,十戈
一,一
暇,日叚
比,匕
兼,肀禾
膻,月亶
門,門
靴,革化
瞅,目秋
殳,几又
具,目廾
共,廿廾
丰,丰
膩,月貳
毅,立豕殳
中,中
面,囗自
毀,臼土殳
丩,丩
革,革
鍤,金干臼
閥,門伐
膛,月堂
青,生月
膝,月桼
瞧,目焦
丙,丙
丘,丘
非,非
垡,伐土
靂,雨歷
光,火儿
先,牛儿
瑙,王川囪
嬰,貝女
七,七
兀,兀
丁,丁
閻,門臽
椅,木奇
潦,水尞
侯,人丩矢
匡,王匚
瀾,水闌
餐,攴又食
豕,豕
大,大
斗,斗
椒,木叔
豌,豆宛
匽,匚妟
餑,食孛
稈,禾旱
豆,豆
豇,豆工
匊,米勹
匈,勹凶
竿,竹干
插,手干臼
疾,疒矢
稽,禾尤旨
宛,宀夗
旋,方人疋
稻,禾舀
壴,十豆
斑,王文
鍵,金建
匐,勹畐
化,人匕
北,匕
匕,匕
口,口
离,离
禾,禾
句,勹口
畢,田艹十
辛,立十
叮,口丁
辟,尸口辛
鮮,魚羊
澳,水奥
貳,弋二貝
戴,異烖
宀,宀
戳,翟戈
戍,戊一
粦,米夅
糊,米胡
戉,戉
戈,弋
辶,辶
叉,又
又,又
篡,算厶
反,厂又
澈,水徹
