啦;!!         ;This expresses the shock you feel upon witnessing Ghenghis putting one of those fingers into his mouth and biting down happily.;;
啊;Aah!         ;Lady's mouths hang open when they see Apollo's physique, and the only word that escapes is "aah!";;
遵;Abide by         ;Abiding by the traffic laws is a form of veneration of the spirit of the road you are travelling on. Noone can escape from the laws - no matter how venerated they are.;;
能;Ability         ;The amputee with a dis-ability has no hands but only stumps of flesh beneath his elbows. To give him the ability to eat he has two spoons implanted in his arm stumps; one on each side.;
突;Abruptly         ;The chihuahua's yapping stopped abruptly when I tired of its noise and pushed it through the dog flap (a hole in the door) and into the cold outside;;
科;Academic Discipline         ;The two academic disciplines depicted here are biology (some wild rice) and astronomy (the Big Dipper) - and what other ones do you need; really?;
受;Accept         ;A birdhouse is a whorehouse that will accept any crotch - as long as you have money!;;
绩;Accomplishments         ;Every new responsibility is a potential source of new accomplishments to add to the long thread that you use to store all your certificates; awards and so on.;
积;Accumulate         ;You are accumulating stores in anticipation of the nuclear apocalypse - but you're saving up wild rice only; as it has proven to be the most radiation resistant of all foodstuffs;
诉;Accuse         ;The eldest warrior's words accuse you of not cleaning your tomahawk of blood properly after every single raid - but the reprimand in his words is entirely unfair!;;
惯;Accustomed to         ;Flagellants have a state of mind where they have become accustomed to piercing themselves with all manner of horrible implements;;
功;Achievement         ;The great achievements of the human race are works of construction (with I-beams) using muscle power - just think of the pyramids!;;
加;Add         ;Your mouthy neighbour that always had another thing to say is here intent on adding something about the size of his muscles to all of your conversations;;
巧;Adroit         ;When working in the bear trap (snare) trade; you must be particularly adroit to avoid catching your limbs in its painful embrace;
反;Against         ;This is a particularly painful punishment where someones crotch is dragged against a gravel path;;
虽;Although         ;Although they aren't very tasty this person feels compelled to stuff their mouth full of insects;;
祖;Ancestor         ;Japanese household often have a small shelf where they keep an altar honouring the spirits of their ancestors.;;
而;And         ;A comb with just enough spaces to fit in the letters A N D;;
角;Angle         ;To measure an angle; the best device to utilize is a carpenters square; which is nothing more than two metallic walking sticks bound together.
恼;Annoyed         ;This is Fagan's state of mind when his child-thieves fail to bring back enough loot. You don't want to be around him when he's like this!;;
另;Another         ;Another satisfied customer of my system for improving the strength of your mouth muscles by a programme of talking to the wall and eating raw steak every day;;
蚁;Ant         ;The ant is a insect of righteousness: they put the needs of the group before their own!;;
急;Anxious         ;The cleaning lady is always bound up with her broom; and constantly anxious about being fired - so her heart pounds like a drum as she works;
阿;Apollo         ;Apollo is the only god who can reach the pinnacle of Mount Olympus; due to it's height and rareified air;
服;Apparel         ;The latest trend in American apparel: clothing so outrageous that it is no more than a stamp covering your crotch;;
样;Appearance         ;The fire brigade are used to fetching cats down from trees; so the sudden appearance of a sheep halfway up one came as something of a suprise;
号;Appellation         ;An appellation sticks because the mouth snares it so easily;;
任;Appoint         ;By appointment to the Queen: Chuck Norris's own baggage handlers! Chuck is so strong that this is a doddle for him - instead of hiring porters; he just roundhouse kicks the luggage to it's destination;
概;Approximate         ;Since the waitress has confessed to stealing the silverware, we're going to try and get it back. Unfortunately, the idiot waitress can only remember the approximate location - "somewhere near that tree". Not much help!;;
到;Arrive         ;You arrive at the city walls for your duel to the death a little early. Until your partner arrives; you practice with your saber.;
随;As you wish         ;"As you wish, my Lord". What does your Lord wish? Well, to reach the pinacle of sexual prowess, possess everything and make inroads on other lord's territory;;
登;Ascend         ;When an American Indian warrior dies; his body is placed on a table inside a teepee; and a ritualistic ceremony is held to encourage his spirit to ascend to that big buffalo hunting ground in the sky.
亚;Asia         ;The people of Asia have only one profession: rice farmer. Primitive: Mao Zedong.;;
问;Ask         ;This gate has a huge mouth on it; with sharp teeth. Before you can pass through it; it will ask you a riddle - if you answer incorrectly
志;Aspiration         ;It the aspiration of every young boy to be a soldier and every young girl to be a heart surgeon;;
担;Assume         ;One of Hercules' labours was to hold the world in his fingers for Atlas; assuming the considerable burden until daybreak;
在;At         ;You know precisely where the place you buried (in the soil) your genie in a bottle is at.;;
附;Attach         ;When climbing up the pinnacle of a mountain; you had better attach yourself to the rock; or you could pay with your life!
态;Attitude         ;If someone is overly attentive to the needs of their heart over those of their head the result is usually a bad attitude that annoys others;;
瑞;Auspicious         ;Our prospector has unearthed a ball of gold ore - a most auspicious sign!;;
秋;Autumn         ;In autumn the leaves on every plant - including wild rice - turn a fiery red colour;;
免;Avoid         ;In the eternal war between rabbits and hares; this rabbit has avoided capture as a spy for the other side by cutting off its fluffy tail; so as to pass for a hare.
