0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0002-1	丿				Strich*			Ein nach links fallender 丿 Strich.	
0002-@	白	白	bái	weiß, kostenlos, umsonst	weiß	Strich* (丿) + Sonne (日)	Strich* + Sonne	Die 日 Sonne mit einem 丿 Strich, der ihr Aufgehen anzeigt: es wird hell, 白 weiß.	明白 = míng bái = klar, verständlich, deutlich; verstehen, begreifen // 白菜 = bái cài = Chinakohl // 白天 = bái tiān = tagsüber
0003-1	丶				Tropfen*			Darstellung eines 丶 Tropfens.	
0003-2	勹				Hülle*			Bild eines Mutterleibs: Symbol für eine 勹 Hülle, einwickeln, …	
0003-@	勺	勺	sháo	Löffel, Kelle	Löffel	Hülle* (勹) + Tropfen* (丶)	Hülle* + Tropfen*	Ein 丶 Tropfen in einer 勹 Hülle: Bild eines 勺 Löffels.	勺子 = sháo zi = Löffel, Kelle // 勺兒 = sháo r = Löffel, Löffelvoll
0004-@	的	的	1) de / 2) dí / 3) dì	1) [Attributivpartikel] / 2) (sicher, wahr, wirklich) / 3) (Ziel)	Ziel	weiß (白) + Löffel (勺)	weiß + Löffel	Dies ist das häufigste chinesische Zeichen. Ein 勺 Löffel im 日 Sonnenlicht (verändert zu 白 weiß) ist ein gut zu erkennendes 的 Ziel. Meist genutzt als Attributivpartikel.	別的 = bié de = anderes // 有的 = yǒu de = manche, einige, [nur in Subjektstellung] // 當…的時候 = dāng ... de shí hòu = während ..., als ... // 的確 = dí què = tatsächlich, wirklich // 目的 = mù dì = Ziel, Zweck
0005-@	手	手	shǒu	Hand, [Personensuffix]	Hand			Bild einer 手 Hand mit fünf Fingern, auch als 扌 in Zusammensetzungen.	手錶 = shǒu biǎo = Armbanduhr // 手機 = shǒu jī = Handy, Mobiltelefon // 洗手間 = xǐ shǒu jiān = Toilette, Waschraum
0006-1	戈				Hellebarde*			Bild einer 戈 Hellebarde oder ähnlichen Waffe.	
0006-@	我	我	wǒ	ich	ich	Hand (手扌) + Hellebarde* (戈)	Hand + Hellebarde*	Meine 手 Hand hält eine 戈 Hellebarde, um mich und mein Eigentum (kurz: 我 ich) zu verteidigen.	我們 = wǒ men = wir, [exklusives "wir"] // 自我 = zì wǒ = selbst, Selbst-, Eigen- // 我的 = wǒ de = mein, meiner, meins
0007-@	找	找	zhǎo	suchen, besuchen, (Wechselgeld) herausgeben	suchen	Hand (手扌) + Hellebarde* (戈)	Hand + Hellebarde*	Eine 扌 Hand und eine 戈 Hellebarde, d. h. den Feind 找 "suchen".	尋找 = xún zhǎo = suchen, auf der Suche sein, fahnden, forschen // 找不到 = zhǎo bù dào = nicht finden können // 找人 = zhǎo rén = nach jdm. suchen
0008-@	人	人	rén	Mensch, Leute, Person	Person			Bild einer 人 Person, eines Menschen, reduziert auf die beiden Beine.	男人 = nán rén = Mann // 女人 = nǚ rén = Frau // 別人 = bié rén = ein anderer, die anderen, die Leute
0009-1	尔				du*			尔 Du* ist die vereinfachte Form des archaischen Zeichens für "du", siehe: 爾 somit/daher/du.	
0009-@	你	你	nǐ	du	du	Person (人亻) + du* (尔)	Person + du*	Eine 尔 Du* - 亻 Person: 你 du.	你們 = nǐ men = ihr, [2. Person Plural] // 你的 = nǐ de = dein, deiner, deins // 你們的 = nǐ men de = euer, eure
0010-@	也	也	yě	auch	auch			Wohl das Bild des Ausschüttens einer Flüssigkeit, die "也 auch" an andere verteilt wird. Andere sehen das Bild einer Schlange oder einer Vulva.	也許 = yě xǔ = vielleicht, möglicherweise // 既…也… = jì ... yě ... = ... als auch ... // 一…也… = yī ... yě ... = auch das kleinste ...
0011-@	他	他	tā	er	er	Person (人亻) + auch (也)	Person + auch	他 Er, das ist 也 auch eine 亻 Person.	其他 = qí tā = andere/r/s, die übrigen, das übrige // 他們 = tā men = sie, [3. Person Plural] // 他的 = tā de = sein, seiner, seins
0012-@	戶	户	hù	Tor, Haushalt	Türflügel			Bild eines 戶 Türflügels.	窗戶 = chuāng hù = Fenster // 個體戶 = gè tǐ hù = kleiner Privatbetrieb // 安家落戶 = ān jiā luò hù = sich an einem anderen Ort als dem Heimatort fest niederlassen [Redensart]
0013-@	門	门	mén	Tür, Tor, [ZEW für Kategorien]	Tür	Türflügel (戶) + Türflügel (戶)	Türflügel + Türflügel	Bild eines Tors oder einer 門 Tür mit zwei 戶 Tür-Flügeln.	專門 = zhuān mén = speziell // 門口 = mén kǒu = Tür, Tor, Eingang // 部門 = bù mén = Abteilung, Behörde, Branche
0014-@	們	们	men	[Pluralsuffix]	Personenmehrzahl	Person (人亻) + Tür (門)	Person + Tür	Viele 亻 Personen kommen durch eine 門 Tür: Zeichen für die 們 Personenmehrzahl.	我們 = wǒ men = wir, [exklusives "wir"] // 咱們 = zán men = wir, [inklusives "wir"] // 你們 = nǐ men = ihr, [2. Person Plural]
0015-@	止	止	zhǐ	stoppen, bis zu	Fußabdruck/stoppen			Bild eines 止 Abdrucks des linken Fußes - Sinnbild für anhalten, 止 stoppen.	禁止 = jìn zhǐ = verbieten; verboten // 停止 = tíng zhǐ = aufhören // 防止 = fáng zhǐ = verhüten, vorbeugen
0016-@	一	一	yī	ein, eins, nur, ein bißchen	eins			Ein Symbol für 一 eins oder einfach eine 一 Linie.	第一 = dì yī = der/die/das erste // 一起 = yī qǐ = zusammen, gemeinsam // 一般 = yī bān = gewöhnlich, üblich, normalerweise; mittelmäßig, nichts Besonderes (sein)
0017-@	正	正	zhèng	aufrecht, (jetzt) gerade, hauptsächlich, echt	korrekt	eins (一) + Fußabdruck/stoppen (止)	eins + Fußabdruck/stoppen	Bild eines 止 Fußes, der an einer 一 Linie steht - das ist 正 korrekt.	正在 = zhèng zài = gerade (dabei); [Aspekt des Verlaufs, lange Form] // 真正 = zhēn zhèng = wahr, wirklich, echt // 正常 = zhèng cháng = gewöhnlich, normal
0018-@	是	是	shì	sein, wahr sein, wirklich	sein	Sonne (日) + korrekt (正)	Sonne + korrekt	Unter der 日 Sonne 正 korrekt, das bedeutet Existenz, also 是 sein.	但是 = dàn shì = aber, jedoch // 還是 = hái shì = oder [Alternativfragen], trotzdem, lieber, doch, noch // 總是 = zǒng shì = immer, stets
0019-@	不	不	bù	nicht	nicht			Das Bild eines fliegenden Vogels mit schlagenden Flügeln - wenn er fortfliegt, ist er bald 不 "nicht" mehr zu sehen.	不客氣 = bù kè qì = nichts zu danken, keine Ursache // 對不起 = duì bù qǐ = Entschuldigung!; Es tut mir leid! // 不但 = bù dàn = nicht nur
0020-@	土	土	tǔ	Erde, Boden	Erde			Bild einer Pflanze, die aus der 土 Erde wächst.	土地 = tǔ dì = Land, Boden, Territorium // 土豆 = tǔ dòu = Kartoffel [VRC] // 面如土色 = miàn rú tǔ sè = kreidebleich, aschfahl [Redensart]
0021-@	才	才	cái	gerade, erst, endlich	Talent/gerade			Bild einer Pflanze, die 才 gerade aus der Erde treibt - Sinnbild für Wohlstand, auch 才 Talent. Hinweis: Die ersten 3 Striche in 在, 存 waren ursprünglich 才.	剛才 = gāng cái = soeben, eben, gerade // 人才 = rén cái = Talent, eindrucksvolle Persönlichkeit // 才是 = cái shì = nur dann sein
0022-@	在	在	zài	existieren, sich befinden in, in, [allg. Ortsangabe]	sich-befinden	Talent/gerade (才) + Erde (土)	Talent/gerade + Erde	Die ersten 3 Striche in 在 waren ursprünglich "才 Talent/gerade" und deuten die Aussprache an. Dort, wo ich mich 才 gerade auf der 土 Erde 在 befinde.	現在 = xiàn zài = jetzt, zur Zeit, gegenwärtig; Gegenwart // 正在 = zhèng zài = gerade (dabei); [Aspekt des Verlaufs, lange Form] // 實在 = shí zài = wahr, wirklich, in der Tat
0023-@	目	目	mù	Auge, betrachten	Auge			Bild eines 目 Auges, um 90° gedreht.	節目 = jié mù = Programm, (Programm-) Nummer // 目的 = mù dì = Ziel, Zweck // 目前 = mù qián = zur Zeit
